Time resolution is 1 ps
Time = 0 | I0 = 0 | I1 = 0 | S = 0 | Y = 0
Time = 10000 | I0 = 0 | I1 = 1 | S = 0 | Y = 0
Time = 20000 | I0 = 1 | I1 = 0 | S = 0 | Y = 1
Time = 30000 | I0 = 1 | I1 = 1 | S = 0 | Y = 1
Time = 40000 | I0 = 0 | I1 = 0 | S = 1 | Y = 0
Time = 50000 | I0 = 0 | I1 = 1 | S = 1 | Y = 1
Time = 60000 | I0 = 1 | I1 = 0 | S = 1 | Y = 0
Time = 70000 | I0 = 1 | I1 = 1 | S = 1 | Y = 1
Time = 0 | I0 = 0 | I1 = 0 | S = 0 | Y = 0
Time = 10000 | I0 = 0 | I1 = 1 | S = 0 | Y = 0
Time = 20000 | I0 = 1 | I1 = 0 | S = 0 | Y = 1
Time = 30000 | I0 = 1 | I1 = 1 | S = 0 | Y = 1
Time = 40000 | I0 = 0 | I1 = 0 | S = 1 | Y = 0
Time = 50000 | I0 = 0 | I1 = 1 | S = 1 | Y = 1
Time = 60000 | I0 = 1 | I1 = 0 | S = 1 | Y = 0
Time = 70000 | I0 = 1 | I1 = 1 | S = 1 | Y = 1
